OTU_ID,NTC1_A,BS1_01_A,BS1_02_A,BS1_03_A,BS1_04_A,BS1_06_A,BH1_01_A,BH1_02_A,RS1_01_A,RS1_02_A,RS1_03_A,RS1_04_A,RS1_05_A,RS1_06_A,RS1_07_A,RS1_08_A,R1_01_A,R1_02_A,R1_03_A,R1_04_A,R1_05_A,R1_06_A,R1_07_A,R1_08_A,R1_09_A,R1_10_A,R1_11_A,R1_12_A,R1_13_A,R1_14_A,R1_15_A,R1_16_A,Kingdom,Phylum,Class,Order,Family,Genus,Species
ZOTU1157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Leptodiscella,s__Leptodiscella_chlamydospora_SH030935.07FU
ZOTU468,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lachnum,s__Asperopilum_juncicola_SH530129.07FU
ZOTU1226,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Fibroporia_bohemica_SH178789.07FU
ZOTU1006,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Lyophyllum,s__Lyophyllum_decastes_SH175408.07FU
ZOTU914,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Datronia_scutellata_SH199861.07FU
ZOTU1387,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Alphamyces,s__Alphamyces_chaetifer_SH207540.07FU
ZOTU1721,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__,o__,f__,g__,s__
ZOTU436,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__,s__
ZOTU1180,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__Talaromyces_ucrainicus_SH221788.07FU
ZOTU942,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Terfezia,s__Terfezia_alsheikhii_SH190069.07FU
ZOTU444,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__,s__
ZOTU722,0,0,0,0,0,0,0,60,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Cercospora,s__Cercospora_coniogrammes_SH278817.07FU
ZOTU1213,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Inocybe_hydrocybiformis_SH189056.07FU
ZOTU1207,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Diversispora,s__Diversispora_clara_SH196897.07FU
ZOTU895,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Kochiomyces,s__Kochiomyces_dichotomus_SH209461.07FU
ZOTU1543,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__,c__,o__,f__,g__,s__
ZOTU1054,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_longicauda_SH220434.07FU
ZOTU457,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Protrudomycetaceae,g__Protrudomyces,s__Protrudomyces_lateralis_SH210255.07FU
ZOTU1177,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Protrudomycetaceae,g__Protrudomyces,s__Protrudomyces_lateralis_SH210255.07FU
ZOTU26,0,0,0,0,0,0,0,30,0,0,0,146,0,0,4,544,87,590,1897,449,8,0,82,3204,413,748,1676,275,3,0,29,7477,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Rhizoctonia,s__Thanatephorus_cucumeris_SH000105.07FU
ZOTU1252,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Kochiomyces,s__Antrodia_gossypium_SH003102.07FU
ZOTU1542,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Protista,p__Cercozoa,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Xylodon_detriticus_SH522655.07FU
ZOTU1260,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mortierellaceae,g__Mortierella,s__Oliveonia_pauxilla_SH024171.07FU
ZOTU1066,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Phlebia_nitidula_SH185173.07FU
ZOTU279,0,0,0,0,0,0,0,244,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_chlamydospora_SH185197.07FU
